,Season,1stA,2ndA,3rdA,4thA,FinalA,MLA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,FinalB,MLB,TeamB,Date,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,winning_name,losing_name
12184,2017,40.0,15.0,30.0,33.0,118.0,-235.0,Indiana Pacers,V,20.0,40.0,101.0,36.0,35.0,131.0,195.0,Minnesota Timberwolves,12-21-2016,249.0,204.0,202.0,5.5,5.5,-13.0,Minnesota Timberwolves,Indiana Pacers
12185,2017,18.0,20.0,16.0,13.0,67.0,460.0,Memphis Grizzlies,V,21.0,21.0,5.0,26.0,26.0,94.0,-560.0,Detroit Pistons,12-21-2016,161.0,204.5,200.5,-9.5,-10.0,-27.0,Detroit Pistons,Memphis Grizzlies
12186,2017,22.0,20.0,21.0,26.0,89.0,700.0,Los Angeles Clippers,V,23.0,31.0,3.0,19.0,29.0,102.0,-1000.0,Dallas Mavericks,12-21-2016,191.0,194.5,194.0,-12.0,-11.5,-13.0,Dallas Mavericks,Los Angeles Clippers
12187,2017,22.0,30.0,24.0,20.0,96.0,170.0,Denver Nuggets,V,30.0,20.0,4.5,19.0,30.0,99.0,-200.0,Portland Trail Blazers,12-21-2016,195.0,205.0,206.0,-2.0,-4.5,-3.0,Portland Trail Blazers,Denver Nuggets
12188,2017,33.0,29.0,21.0,32.0,115.0,-210.0,Toronto Raptors,V,33.0,23.0,98.5,36.0,31.0,123.0,180.0,Oklahoma City Thunder,12-21-2016,238.0,196.0,196.0,5.0,5.0,-8.0,Oklahoma City Thunder,Toronto Raptors
12189,2017,18.0,16.0,27.0,24.0,85.0,290.0,Washington Wizards,V,22.0,23.0,1.5,23.0,25.0,93.0,-350.0,Indiana Pacers,12-22-2016,178.0,206.5,205.5,-5.5,-8.0,-8.0,Indiana Pacers,Washington Wizards
12190,2017,17.0,28.0,27.0,23.0,95.0,-135.0,Golden State Warriors,V,27.0,25.0,104.5,28.0,20.0,100.0,115.0,Brooklyn Nets,12-22-2016,195.0,210.0,211.5,2.0,2.0,-5.0,Brooklyn Nets,Golden State Warriors
12191,2017,23.0,19.0,21.0,39.0,102.0,-120.0,Utah Jazz,V,21.0,29.0,101.5,24.0,30.0,104.0,100.0,Miami Heat,12-22-2016,206.0,202.0,202.5,-0.0,1.0,-2.0,Miami Heat,Utah Jazz
12192,2017,20.0,18.0,15.0,23.0,76.0,750.0,Minnesota Timberwolves,V,30.0,23.0,2.5,26.0,31.0,110.0,-1100.0,New Orleans Pelicans,12-22-2016,186.0,184.0,186.5,-11.0,-12.0,-34.0,New Orleans Pelicans,Minnesota Timberwolves
12193,2017,25.0,22.0,22.0,30.0,99.0,155.0,Philadelphia 76ers,V,30.0,22.0,1.0,22.0,23.0,97.0,-175.0,Memphis Grizzlies,12-22-2016,196.0,200.5,199.0,-4.5,-4.0,2.0,Philadelphia 76ers,Memphis Grizzlies
